"不分彼此","不分这一方和那一方，不分你和我。形容关系密切，交情深厚。"
"今不如昔","现在不如过去。多表示对现实否定和对世事不满。"
"问心无愧","自问良心，毫无羞愧。"
"备受瞩目","很受别人关注。"
"左顾右盼","向左边看看，又向右边看看。表示对周围的人或事物打量或窥探的样子。也用来形容志得意满的神态。也形容顾虑重重、犹豫不决的样子。"
"自给自足","给：供应，供给。靠自己生产来满足自己的需要。"
"无可置疑","用不着怀疑。指绝对真实可信。"
"旗开得胜","开：展开。胜：胜利。战旗一挥动就取得胜利。比喻事情一开始，不费力气就取得成功。"
"不令而行","不须命令而在下者自会正直。盖受感化故。"
"花团锦簇","锦：有彩色花纹的丝织品。簇：聚集在一起的东西。鲜花成团，彩锦成堆。形容五彩缤纷、绚丽灿烂的景象。也形容华美的衣饰。"
"唠唠叨叨","说话啰嗦，一说起来没个完。"
"言之成理","之：代词，指所讲的内容。所说的话有道理。"
"尽收眼底","（整个景物）全被看在眼里。形容视野开阔，景物一览无遗。"
"一事无成","连一样事情也没有做成。多指一个人有生以来没有在某种事业上做出突出的成就。"
"恍若隔世","好像隔了一个时代。形容人、事、景物等变化很大。"
"闻名中外","中国及外国都知道听到，形容名声传播得极远。"
"僧多粥少","和尚多而供和尚喝的粥少。比喻人多东西少，不够分配。"
"点铁成金","古代神仙故事中说仙人用手指或灵丹在铁、石、瓦砾上面一点，就变成为金子。"
"诘屈聱牙","诘屈：同“佶屈”，曲折，引申为不顺畅；聱牙：读起来拗口、别扭。形容文字晦涩艰深，难懂难读。"
"轻重缓急","事情有次要和重要、缓办和急办的区别。"
"量力而行","先衡量自己的力量再行动，不做力所不及的事。"
"理所应当","从道理上讲应当这样。指不容置疑，自然应该如此。"
"急转直下","急：急速。转：转变。情况或形势等突然发生转变，而且很快地顺势发展下去。常指急速地向坏的方面发展。"
"冰冻三尺"," "
"张冠李戴","冠：帽子。把姓张的帽子戴到姓李的头上。比喻搞错了对象。"
"精彩绝伦","精彩美妙到了极点。"
"完好无缺","1.同“完好无损”。 2.完整而无缺漏。"
"不怀好意","心中没有好的想法。指心存恶意。"
"形影相吊","只有自己的身体和影子相互慰问。形容无依无靠，非常孤单。"
"虎视眈眈","像老虎那样凶狠地盯着。形容心怀不善，伺机攫取。"
"大功告成","功：事业。重大工程或任务宣告完成。"
"成千上万","1.用于实指，指数量超过一千，达到但不超过一万。 2.用于虚指，形容数量极多。"
"令人神往","神往：心里向往。让人内心向往。多指对美好事物的喜爱和敬慕。"
"后患无穷","后患：遗留下来的祸患。穷：穷尽。以后的祸害将没完没了。"
"处之泰然","处：处理。泰然：镇定自若的样子。指在紧张、危急关头能镇定地对待，或毫不介意。"
"习焉不察","习惯了某种事物，就觉察不到其中存在的问题。"
"傍人门户","傍：依靠，依附；门户：门第。比喻依赖别人，不能自立。"
"奇货可居","指把少有的货物囤积起来，等待高价出售。"
"妙不可言","美妙得无法用文字、语言来表达。形容美妙到极点。"
"急流勇进","在急流中勇于前进。比喻在逆境、激烈的竞争或官场中积极进取，勇往直前。"
"怦然心动","心跳而有所触动。形容情感有所触动而心情激动。"
"肺腑之言","肺腑：借指内心。指发自内心的真挚诚恳的话语。"
"远见卓识","卓：卓越。远大的眼光和卓越的见识。"
"顾影自怜","①对着影子，自己怜惜自己。形容处境孤苦、潦倒失意的情状。②转过头看看影子也自觉可爱。形容自我欣赏。"
"风雨无阻","刮风下雨也阻挡不住，照常进行。泛指不管发生什么情况，均按原定计划照常进行。"
"五彩斑斓","形容色彩或色泽鲜艳繁多，非常好看。"
"奋不顾身","奋勇向前，不考虑个人安危。"
"逃之夭夭","夭夭：指花木盛开的样子。形容人溜走或逃跑得无影无踪。"
"为虎作伥","替老虎作伥鬼。比喻替坏人当帮凶。"
"互惠互利","互相给予对方好处和利益。"
"力有未逮","力量或能力不能达到或做到。"
"饥不择食","择：挑拣。饥饿极了的时候，不挑拣食物什么都吃。常以比喻需要急迫时顾不得选择。"
"万丈深渊","渊：深潭。很深的水潭。比喻十分不利的处境。"
"开源节流","开：开辟。源：水源，借指收入。节：节制。流：水流，借指支出。比喻增加收入，减少支出。"
"两面三刀","比喻当面一套，背后一套，阴险狡猾。"
"谬以千里","谓错误之极；荒谬到极点。"
"追名逐利","追求名利。形容过分看中或计较名利。"
"经久不息","长时间停息不下来。常形容掌声和欢呼声。"
"沉疴难起","沉疴：重病或老病。久患重病，不能下床。"
"相沿成俗","因袭某种东西，逐渐形成了习俗。"
"咫尺天涯","形容距离虽然很近，但很难相见，就像在遥远的天边一样。"
"不破不立","不破除旧的东西，就不能建立新的东西。"
"千里迢迢","形容路途遥远。"
"旁门左道","1.不正规的门道。比喻非正统或非主流的学术派别或宗教派别。 2.比喻不正规的方法、途径等。"
"不为人知","不被人所知道了解。"
"万古长青","万古：千秋万代。青：绿色。比喻美好的事物永远存在下去。多用于崇高的精神或深厚的友谊。"
"不分伯仲","分不出第一第二。"
"志存高远","追求远大的理想、事业上的抱负。"
"胆战心惊","战：发抖。形容非常害怕。"
"与虎谋皮","跟老虎商量要剥它的皮。比喻所商量的事有损对方（多指坏人或恶人）的切身利益，绝不可能成功。"
"不证自明","公理是根据事实得出的结论不用证明，有的也无法证明。比喻内心的诚意不用表白，必然表现在行动上。"
"万念俱灰","念：希望，念头。灰：灰心，失望。种种希望、念头都破灭了。形容失意或遭受不幸等打击后十分灰心、失望的心情。"
"见多识广","见过的事情多，知识广博。"
"毫无保留","一点都没有剩余。指全盘托出。"
"以身试法","身：自身。试：尝试。明知法律禁止，仍冒险去做违法的事。"
"赞不绝口","赞：称赞。绝：停止。不住口地称赞。"
"有理有据","暂无解释。"
"风驰电掣","形容非常迅速，象风吹电闪一样。"
"扑面而来","迎面扑来。多形容烟雾、气体等直冲面部而来。也形容其他事物出现迅速，来势迅猛。"
"目光短浅","形容缺乏远见，只看到眼前利益而看不到长远利益。"
"走投无路","投：投奔。到处投奔，但找不到出路。形容陷入了绝境。"
"声名大噪","由于名声高而引起人们的极大关注。"
"大名鼎鼎","鼎鼎：盛大的样子。形容名气很大。"
"情之所钟","指对某人或某种事物感情专注。"
"积少成多","指一点点积累会逐渐增多。"
"博古通今","通晓古今的事情。形容知识渊博。"
"草木皆兵","把野草和树木都当成士兵。形容人疑神疑鬼，对任何一点动静都感到恐惧。"
"触景生情","看到某种景物而激发出某种感情。"
"貌合神离","表面上看似合得来，实际上关系不融洽。"
"隔三差五","每隔不久；时常。"
"冷眼旁观","冷：冷静的，冷淡的。用冷漠的眼光在一旁观看。形容置身事外，漠不关心。"
"三足鼎立","像鼎的三只脚那样立着。形容三种势力并存对峙。"
"为所欲为","欲为：想要做的。原指干自己想干的事。现指毫无顾忌地做不应该做的事。"
"素昧平生","从来不相识、不了解。"
"慷慨激昂","慷慨：精神振奋，充满正气。激昂：情绪激动、昂扬。形容精神振奋，情绪激动。"
"如临深渊","像处于深渊的边缘一样。形容存有戒心，做事非常小心谨慎。"
"患得患失","患：担心。没有得到时怕得不到，得到后又怕失去。指对个人的利害得失斤斤计较。"
"难分难解","同“难解难分”。"
"毕恭毕敬","毕：完全。形容对人十分恭敬有礼。"
"浑水摸鱼","浑水：不清的水。在混浊的水中摸鱼。比喻趁混乱捞取不正当的利益。"
"反躬自省","自我检查、反省。"
"细水长流"," 后以“细水长流”比喻精细安排，长远打算。"
"情不自禁","禁：抑制，控制。情绪激动，无法控制自己。"
"独出己见","与别人不同地提出自己的见解或主张。"
"奇谈怪论","不合情理的荒唐古怪的看法和言论。"
"怡然自得","形容高兴而满足的样子。"
"足不出户","整天待在家里，不出门。"
"抱诚守真","恪守诚信，坚持真理。形容人心地诚实，正直无私。"
"掩人耳目","遮掩别人的耳朵和眼睛。比喻用假象掩盖事实，蒙骗别人。"
"否极泰来","否到了极点泰就出现。指坏运结束，好运到来。"
"颠沛流离","形容因战乱灾荒或生活困苦等到处流浪。"
"翻山越岭","爬过高山，越过重岭。"
"战无不胜","打仗从来没有不胜利的。形容力量很强，可以战胜一切。"
"浓妆淡抹","同“淡妆浓抹”。"
"手忙脚乱","手脚十分忙乱。形容做事慌乱而无条理。"
"无拘无束","拘、束：限制，约束。很自由，不受约束。"
"文如其人","文章的思想或风格跟作者的人格或作风相似。"
"金碧辉煌","形容建筑物装饰华丽，光彩耀眼。"
"一本正经","正经：庄重，正派。形容庄重严肃、十分认真的样子。也形容故作姿态或古板。"
"道德境界","道德境界是指人们从一定的道德观念出发，在道德修养过程中形成的觉悟。"
"不慌不忙","既不慌张，也不匆忙。形容从容不迫。"
"门庭冷落","门前冷冷清清。形容来人很少，非常冷清。"
"震撼人心","撼：动摇。对人的内心震动很大。"
"振奋人心","使人内心激动，精神振作奋发。"
"毫无顾忌","1.对违反道德的行为丝毫没有反感或犹豫。 2.不考虑对人对事情的利害关系；没有顾虑。"
"英姿飒爽","形容英俊威武、精神焕发的样子。"
"无坚不摧","没有什么坚固的东西不可摧毁。形容力量极其强大，任何困难和对手都能战胜。"
"水泄不通","像是连水也流不出去。形容拥挤或包围的非常严密。"
"一点一滴","形容微小零星。"
"无依无靠","没有依靠。形容孤苦无依，没人照顾。"
"节节攀升","指地位、职位、业绩等不断向上提高。"
"漫无目的","完全没有一定目的。形容随意闲散。"
"爱屋及乌","因为爱一个人而连带爱他屋上的乌鸦。"
"大气磅礴","形容气势宏大。"
"不动声色","在紧急情况下，说话、神态仍跟平时一样没有变化。形容非常镇静。"
"久盛不衰","形容事物盛行的时间很长，一直不衰退。"
"各显神通","各自显示高超本领。指各自施展特殊本领行事。常前接“八仙过海”，连用。"
"有教无类","不管什么人都可以受到教育。"
"添油加醋","比喻夸大事实，增添原先没有的内容。"
"心术不正","用心不善，居心不良。"
"碌碌无为","平平庸庸，无所作为。"
"捧腹大笑","用手捂住肚子大笑。形容笑得很厉害。"
"八水三川","形容河水纵横的地理景观。"
"义正辞严","理由正当充分，措辞严正有力。"
"英雄气概","指英勇、豪迈、无畏的精神品质。"
"连类比物","联系同类事物，进行排比归纳。"
"从心所欲","按照自己的意思，想怎样便怎样。"
"无远弗届","没有什么远的地方不能到达。指无论多远都能到达。"
"登高望远","登上高处，看得更远。"
"视若无睹","看见了却像没看见。形容不重视，漠不关心。"
"乘间取利","指利用对方的漏洞或薄弱环节取胜。"
"心照不宣","宣：公开讲出来。心里都知道，不用明说。"
"俯拾即是","只要弯下腰来拾取，到处都是。形容数量非常多，很容易得到。"
"言无不尽","把要说的话全说出来。多指毫无保留地提供意见或建议。常前接“知无不言”，连用。"
"精美绝伦","精致美好，无与伦比。"
"蛇蟠蚓结","像蛇盘曲、蚯蚓纠结一样。形容相互勾结。"
"光彩夺目","夺目：耀眼。光彩极为鲜艳，令人眼花缭乱。形容人或事物十分美好，引人注目。"
"知行合一","指认识或学习与实践相结合。"
"苦尽甘来","艰难的日子过完，美好的日子来到了。"
"久经考验","经过长久的考查验证。"
"谋篇布局","做一件事进行规划安排所想出的计谋。"
"损人利己","使别人受损失而自己却得到好处。多用来指人卑劣自私。"
"物美价廉","廉：便宜。物品质量好，价格又便宜。"
"萧规曹随","汉初丞相萧何创立的典章制度，曹参继任后仍照旧实行。比喻完全按前人的成规办事。"
"硕果累累","大果子接连成串。比喻取得的成绩大而多。"
"水土不服","1.不适应某地的气候和自然环境。 2.比喻不适应新的客观环境或事物。"
"令人瞩目","足以让人重视。"
"怨声载道","怨：怨恨。载：充满。怨恨的声音充满了道路。形容人们怨恨、不满的情绪普遍而强烈。"
"疲于奔命","疲：疲劳。奔命：奉命奔走。形容工作繁忙，四处奔走，十分疲劳。"
"分秒必争","一分一秒也一定要争取。形容充分利用一切时间。"
"说一不二","说怎样就怎样。表示说话算数，说过的话必定做到。也指说什么就是什么，没人敢违背。也形容专横独断。"
"人满为患","满：过量。患：祸害。人太多了，简直成了灾祸。形容因为人过于多而造成困难。"
"孰能无过","谁能不犯错？"
"横加指责","蛮横不讲理地加以指责。"
"受益匪浅","匪：不。得到不少益处。"
"循环往复","周而复始、来来回回地反复出现或进行。"
"接二连三","一个接着一个，接连不断。"
"春夏秋冬","地球一年的四个季节，是地球围绕太阳运行所产生的结果。"
"狂妄自大","形容极其放肆，目中无人。"
"不过尔尔","不过如此罢了。有轻视意味。"
"相反相成","指两个相反的事物，既相互对立，又互相促成。"
"张弛有度","张是紧张、绷紧的意思，弛是放松、松懈的意思。张弛有度字面上的意思是松紧有度，收放自如。有度说明有节制能力。"
"威风凛凛","形容声势气派令人敬畏。也指声势气派壮大。"
"化繁为简","越是复杂的事情越是可以用简单的方法去化解，往往会得到意想不到的效果。"
"武侠小说","侠义公案小说。滥觞于唐人传奇的若干作品，到清代发展成长篇小说。作品在一定程度上反映了封建时代的黑暗统……"
"得意洋洋","形容称心如意、沾沾自喜的样子。"
"统治阶级","掌握国家政权的阶级。有时特指占统治地位的剥削阶级。"
"出人意表","出乎人们的意料。指让人没有想到或让人想不到。"
"度德量力","衡量自己的品德和能力。"
"倾巢出动","倾巢：把巢倒空。整窝的鸟或虫都出来了。比喻全部成员都出来进行某项活动。"
"摩拳擦掌","形容行动之前心情激动、精神振奋、急不可待的样子。"
"初露锋芒","比喻刚显露出某种实力或才能。"
"浑浑噩噩","形容无知先识，糊里糊涂。形容一片模糊的景象、状态。"
"改天换地","改变天地的面貌。比喻改造大自然，改变社会。"
"各尽所能","尽：全部用出。能：能力，力量。每个人都用出了自己的力量，尽了自己的努力。"
"大街小巷","大大小小的街道胡同。泛指城镇内的各个地方。"
"返观内视","对照检查，自我反省。"
"多管齐下","比喻做一件事从多个方面同时进行或多种方法同时使用。"
"层见叠出","一次又一次不断地出现。形容同类事物出现很多。"
"长驱直入","驱：鞭打着马前进。一路上策马快跑。形容迅速而顺利地向目的地进军。"
"无可挑剔","没有什么可以过分严格找毛病的。形容非常正确或十分完美。"
"别出机杼","比喻诗文构思布局独特新颖，与众不同。"
"张口结舌","结舌：舌头不能活动。张着嘴说不出话来。形容理屈词穷，或因紧张害怕而无言以对。"
"一落千丈","形容急剧下降，幅度相当地大。"
"一无所获","获：获得，收获。没有任何收获。"
"紧锣密鼓","锣鼓敲打得很紧密，表示演出马上就要开始了。比喻紧张的准备工作。"
"挂一漏万","挂：提到，列举。漏：遗漏。提到一个，漏掉了一万个。形容列举或所记不全面，不完备，遗漏很多。"
"子虚乌有","指假设的、不真实的或不存在的事情。"
"长年累月","长年：多年。累月：月复一月。形容经过的时间很长。"
"不入虎穴"," "
"心安理得","安：安然，坦然。得：适合。自信事情做得合情合理，心里坦然。"
"置之度外","度：打算。把它放在自己考虑之外。形容不把事情放在心上。"
"含糊其辞","故意把话说得不清楚、不明确。"
"煽风点火","煽起风，点起火。比喻鼓动别人去做某种事。"
"颇有微词","pō yǒu wēi cí，颇有：很有，有不少。微词：隐含批评和不满的话语（不无微词。惟有扬颂无微词）。"
"事无巨细","事情无论大小。指大大小小的各类事情。"
"枪林弹雨","形容密集的炮火。多形容战斗激烈。"
"百无一用","指毫无用处。"
"情投意合","投：相合。形容彼此感情融洽，意见一致。"
"望文生义","文：文字。不推究确切的含义，只从字面上牵强附会地做出解释。"
"平易近人","平易：原指道路平坦宽广，后比喻态度和蔼。1. 形容态度和蔼可亲，让人容易接近。 2. 形容文章的内容深入浅出，通俗易懂。"
"语重心长","重：郑重。心：情意。话语恳切，用心良苦，情意深长。"
"罪有应得","应：应该。犯了罪得到了应有的惩罚。指得到的惩罚与所犯的罪非常相适，一点也不过分。"
"安居乐业","指安定愉快地生活和劳动。"
"一诺千金","许下的一个诺言有千金的价值。"
"谦虚谨慎","指对人虚心恭敬，处事小心慎重。"
"漏洞百出","漏洞：小洞，借指破绽。百出：出现的次数很多。破绽很多。形容做事、说话或写文章等前后矛盾、不周密。"
"操之过急","操：从事。做事或处理问题过于急躁。"
"不疾不徐","不快不慢。形容速度或节律适中，均衡自然。"
"离经叛道","1.背离儒家的经典、学说。 2.泛指背离正统的理论、学说或某种规范。"
"生龙活虎","富有生气的、充满活力的龙和虎。比喻活泼、矫健，充满生气与活力。"
"杯弓蛇影","比喻疑神疑鬼，自己吓自己。"
"彻头彻尾","彻：贯通。从始至终，完完全全。"
"漫山遍野","形容同类的人或物遍布山野；也指整个的山野。也形容数量多、范围广或声势大。"
"天罗地网","天作罗，地作网。指在四面设下包围圈。多指对敌人、罪犯设下的严密防范。"
"不欢而散","散：离开，分手。不愉快地分手。"
"说三道四","指随意评论或乱加议论。"
"避实就虚","原指军事上避开敌人主力，攻击其薄弱环节。后多指说话、做事回避要害和实质性问题，涉及非要害、非实质性问题。"
"自我作古","指由自己创始，不依傍前人或不沿袭旧例。"
"名噪一时","名：名声。噪：广为传扬。一时间名声广为传扬。"
"一鳞半爪","龙在云中偶尔露出的部分鳞爪。比喻零星片断的东西。"
"轻重失宜","对重要的和不重要的处理不当。"
"临危不惧","临：面临，遭遇到。惧：害怕。面对危险一点也不惧怕。"
"反败为胜","由失败变为胜利。"
"纲举目张","纲：渔网上的总绳。举：提起。目：网眼。提起网上的大绳，网眼就都张开了。比喻抓住事物的主要环节，就可以带动全局。也比喻文章条理分明。"
"讳疾忌医","讳：隐瞒。疾：毛病。忌：顾忌，害怕。医：医治，治疗。隐瞒疾病，害怕医治。比喻掩盖自己的缺点和错误，害怕别人的批评教育，不愿改正。"
"执法如山","比喻严格执行法令，不徇私情。"
"难以捉摸","不好捉摸，形容难以猜测或估量，多用于指手段、方法。"
"损人害己","既损害别人，也损害自己。"
"避而不谈","故意回避，有意不谈。"
"平心静气","心情平和，不感情用事。"
"不在话下","1.旧小说中的套语，表示此处故事暂告一段落，不再往下详细叙说。 2.表示理所当然，用不着多说。 3.表示小事一桩，不值一提。 4.指不在所谈范围之内。"
"天长日久","1.长时间，长期。如：知识需要天长日久的积累。 2.经历的时间一长，日子一久。如：清者自清，浊者自浊，天长日久你自会看出他的本真。"
"人头攒动","人聚集在一起，只看见头在动。形容人多拥挤。"
"失之毫厘","毫、厘：两种极小的长度单位。谬：差错。"
"斩草除根","除草时将根除掉，使草不能再长。比喻彻底根除后患。"
"独立自主","不依赖别人，不受别人的控制，按自己的主张办事。"
"如法炮制","炮制：用烘、炒等方法把中草药原料制成药物。按照久已通行的方法制作中药。比喻照着现成的方法去办事。"
"煞有介事","介：这，那。形容装模作样，好像真有这么回事似的。"
"生动活泼","富有生气活力，活跃、不呆板。"
"深谋远略","同“深谋远虑”。"
"喜怒哀乐","喜欢、恼怒、悲哀快乐。指人随着处境的顺逆而产生的各种感情。"
"恰到好处","恰：恰巧，正好。好处：合适的地方。形容正好到了最合适的地步。"
"成语","释义"
"助纣为虐","比喻帮助坏人干坏事。"
"提心吊胆","吊：悬挂。形容非常担心、害怕。"
"不闻不问","不听也不问。形容对事情不关心，不过问。"
"霄壤之别","天上和地下的差别。比喻极大的差别。"
"一往情深","指对人或对事物顷注了很深的感情，向往而不能克制。"
"乐善好施","乐于行善，喜欢施舍。指慷慨解囊，乐于助人。"
"尽人皆知","尽：所有的。所有的人都知道。"
"暴殄天物","①残害灭绝万物。②任意糟蹋东西。"
"毁于一旦","一旦：一天，形容时间短。来之不易的成果一下子被毁掉。"
"一拥而上","一下子全部蜂拥上去。"
"旗鼓相当","旗、鼓：古时候打仗时发号令的旗帜和战鼓。比喻双方实力不相上下。"
"前车之鉴","前面翻车的借鉴。指值得吸取、可以作为借鉴的别人失败的教训。"
"一言蔽之","用一句话来概括。"
"勤能补拙","拙：笨拙，愚笨。勤奋能够弥补笨拙所带来的不足。"
"言谈举止","言语谈吐和行为举动。"
"求全责备","苛求人或事物，要求其完美无缺。"
"歇斯底里","英语hysteria的音译。本为一种常见的精神障碍疾病，即癔症，多由精神受重大刺激引起，发作时常出现大叫大闹、哭笑无常、言语错乱等现象。形容人情绪失控，举止异常。"
"蠢蠢欲动","蠢蠢：爬虫蠕动的样子。虫子蠕动着准备爬行。多比喻敌人或坏人开始行动，准备进攻或捣乱。"
"扪心自问","扪：摸，按。摸着胸口问自己。表示自我检查、自我反省。"
"兼权尚计","多方面权衡，深入细致地考虑。"
"枉费心机","白白地浪费心思。形容徒劳无益。形容动了脑筋也没有用，心思全部落空。"
"有容乃大","不断容纳才能变大。比喻只有宽宏大度才能成就大事。"
"无奇不有","指什么奇怪的事物都有。"
"风尘仆仆","风尘：风吹尘扬，借指旅途艰辛。仆仆：劳累疲乏的样子。形容长途奔波，劳累困乏。"
"自食其力","依靠自己的力量，通过劳动来养活自己。"
"神秘兮兮","就是很神秘的样子。"
"蟾宫折桂","到月宫去折桂枝。"
"一脉相传","从同一个血统或派系流传承袭下来。指某种思想、行为或学说之间具有继承关系。"
"乐不思蜀","表示刘禅全无心肝，只图眼前快乐，而不以故国为念。"
"如痴如醉","形容神态失常，失去自制。"
"死而不僵","即使死了也不僵硬。形容坏势力等不容易被清除。"
"不耻下问","不耻：不以为耻，不以为有失体面。指不以向不如自己的人请教为耻。"
"不知不觉","没有意识到，没有觉察到。"
"判若两人","判：区别。若：好像。前后好像两个人。形容同一个人在不同的场合或时间，其表现有很大的不同。"
"一模一样","指各方面完全相同，没有一处有不同。"
"大材小用","大材料用到只需要小材料的地方，造成浪费。比喻人才使用不当。"
"酸甜苦辣","泛指各种味道。也比喻人生的各种经历和遭遇。"
"气势恢宏","气势宏大。形容极有气势。"
"影影绰绰","模模糊糊，不真切。"
"其乐融融","形容非常高兴愉快。"
"指日可待","指日：指出日期。待：等待。可以指出明确的等待日期。形容不用多久就可以实现或等到。"
"初露端倪","刚好表现出一些不易察觉的现象。端倪：1、事情的眉目；头绪；边际。2、指推测事物的始末。"
"卓有成效","卓：突出，卓越。形容成绩和效果非常突出。"
"难以估量","很难估计，很难猜测，形容数目众多。"
"开诚布公","开诚：敞开胸怀，诚心诚意。布公：表现出坦白无私。真诚待人，坦白无私。"
"筋疲力尽","筋：肌肉，这里指身体。身体非常疲劳，一点力气也没有了。"
"延年益寿","增加岁数，延长寿命。多指修炼养气、服食丹药而求得长寿。"
"励精图治","振作精神，力求治理好国家。"
"朗朗上口","形容诵读流畅、顺口而悦耳响亮。"
"尘埃落定","比喻事情有了结局或结果：世界杯小组赛～。"
"顶天立地","头顶青天，脚踏大地。形容形象雄伟，气概非凡。"
"暗度陈仓","多指暗中进行偷袭或活动。"
"相依相伴","相互依赖共同做伴。"
"生意盎然","形容生命力旺盛的样子。"
"孤军奋战","孤立无助的军队单独奋力作战。比喻在没有外力援助的情况下从事某项工作。"
"从天而降","从天上落下来。比喻意想不到，突如其来。"
"舍生取义","取：求得。义：正义。舍弃生命，选取正义。指为了正义的事业而宁可牺牲生命。"
"学识渊博","指学识深而且广。"
"闪烁其词","闪烁：原指火光闪动的样子，现比喻说话躲躲闪闪，不敢直讲。词：言辞，话语。指说话躲躲闪闪，吞吞吐吐。"
"不刊之论","指非常正确、不可改变的言论。"
"中规中矩","合乎一定的标准或法则。"
"除旧布新","布：布置，建立。清除旧的，建立新的。"
"互相标榜","标榜：吹嘘，夸耀。互相称颂，互相吹嘘。多用贬义。"
"理直气壮","直：正确，合理。气：语气，气势。壮：强盛。理由正确充分，因而说话很有气势。"
"了然于胸","心里十分清楚明白。"
"假手于人","借别人的手做事。指借别人的力量来达到自己的目的。"
"别无二致","没有什么两样。"
"字里行间","指文章的某种思想感情没有直接说出而是通过全篇或全段文字透露出来。"
"百折不回","无论受到多少挫折也不退缩。形容意志坚韧顽强，品节刚毅。"
"无可挽回","无法使已成的局面好转或恢复原状。"
"目光如炬","1.目光像火把一样明亮。形容眼睛明亮有神。 2.形容人愤怒时目光锐利逼人。 3.形容看问题透彻，见识高明深远。"
"无可奈何","没有办法，无法可想。表示事已如此，再要挽回已是无能为力。"
"尺有所短","常后接“寸有所长”，连用。连用的意思是尺比寸长，但和更长的东西相比就显得短；寸比尺短，但和更短的东西相比就显得长。指任何东西都各有长处和短处，要全面看待问题，不能一概而论。"
"千古绝唱","古往今来的绝妙佳作。"
"互剥痛疮","比喻互揭隐私或短处。"
"终南捷径","1.比喻做官的便捷途径。 2.泛指获取名利或达到目的的便捷途径。"
"承前启后","承：承接。启：开启。继承前人，启发后人。指继承前人的传统，开创今后的道路，多指研究学问总结前人的成果，为后人开拓道路。"
"翩翩起舞","形容轻快地跳起舞来。"
"咬文嚼字","文：文字。嚼：咀嚼。形容过分地死抠字眼。多用来指故意卖弄自己的学识。也指十分认真地斟酌字句。"
"不择手段","择：挑选。为了达到目的，什么手段都使得出来。"
"同心协力","思想一致，共同努力。"
"不苟言笑","苟：随便，马虎。不随便说笑。形容态度庄重严肃。"
"善有善报","佛教认为，做好事有好的报应。常后接“恶有恶报”，连用。"
"唏嘘不已","伤心地哭泣难以自止。"
"追本溯源","本：根本，根源。溯：追究，探究。追究、查找事情最早的根源。"
"各取所需","各自选取自己所需要的东西。"
"青黄不接","庄稼还未成熟，陈粮已经吃完。比喻后继的人力、财力、物力等接续不上。"
"尽心竭力","投入全部身心，使出所有力量。"
"历历可数","可以清清楚楚地数出来。形容非常清晰分明。"
"静观其变","看着事情的发展，根据发展的不同情况采取不同的措施。"
"兴致勃勃","形容兴趣很浓厚，情绪很高。"
"以管窥天","通过竹管的孔看天。比喻见识狭隘或观察、认识问题片面。"
"上下求索","形容努力寻求探索。"
"爱不忍释","喜爱得不肯放手。形容十分喜爱。"
"知无不言","凡是知道的没有不说的。"
"恍然大悟","恍然：猛然清醒的样子。悟：明白过来。一下子心里明白、醒悟过来。"
"洁身自好","洁身：使自身纯洁。自好：自爱。保持自身纯洁、清白，自重自爱，不同流合污。现也指消极地管好自己，怕招惹是非而不敢同坏的倾向做斗争。"
"不忍卒读","1.指文字内容悲惨凄凉，令人不忍看完。 2.指文字内容拙劣、错误百出或佶屈聱牙等而令人生厌，不愿全部读完。"
"若即若离","若：好像。即：靠近。离：疏离。好像接近，又好像疏远。形容对人保持一定的距离，既不亲近也不疏远。"
"直抒己见","抒：发表。坦率地发表自己的观点。"
"自鸣得意","鸣：鸣叫，引申为表示、认为。对自己很满意而十分自得。"
"排山倒海","排：推开。倒：翻转。推倒大山，翻转大海。形容声势浩大，力量巨大。"
"群英荟萃","许多才能出众的人聚集在一起。"
"仗势欺人","仗：依仗。势：权势。依仗权力来欺压他人。"
"杀身成仁","指为正义而牺牲生命。"
"目中无人","眼里没有他人。形容骄傲自大，瞧不起人。"
"拒之门外","把人挡在门外，不让进入。形容拒绝与他人接触或共事，拒绝他人参与。"
"咬牙切齿","切齿：咬紧牙齿。形容痛恨到极点的样子。"
"功不可没","功劳不应被埋没。指立下很大的功劳。"
"难辞其咎","难以推脱其过失。"
"莫测高深","高深的程度没有办法测定。形容非常高深，使人难以理解或捉摸。"
"力薄才疏","力量和才能都很有限。多用于自谦。"
"虽败犹荣","虽然失败了还是很光荣。"
"不知所以","不知道究竟是怎么回事。指对遇到的情况摸不着头脑。也指不知道如何办适宜。"
"将心比心","将：拿，用。比：对比，对照。用自己的心情来对照别人的心情。指体会别人的心情，设身处地为别人着想。"
"枯木逢春","枯萎的树木遇到了春天，又有了生命力。比喻濒临绝境的人或物获得了新生。"
"一语成谶","不经意说的一句话竟成了不吉利事的预言。"
"古色古香","古朴的颜色和古雅的香味。形容字画、书籍、器物、陈设或其他艺术品具有古雅的色彩和情调。"
"饱经沧桑","充分经历过世事变化。指生活经历极为丰富。"
"生死攸关","攸：所。关系到生存和死亡。形容事情关系重大。"
"叶落归根","树叶从树根生发出来，凋落后最终还是回到树根。"
"雷厉风行","像雷一样响动，像风一样流动。形容执行政事法令的严厉、迅速。也形容干事声势猛烈，行动迅速。"
"奋发有为","振作精神，有所作为。"
"乘势而上","利用有利的形势而加紧完成某事。常用来形容事情做到一定阶段时，抓住有利时机攻坚克难，获取最后的胜利。"
